Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
118234858	Kill Chain: The Rise of the High-Tech Assassins		Cockburn, Andrew											Hardcover	320 p.; 6.27 inches	1 pound	6.27 inches	9.55 inches	1.04 inches	6.27 x 1.04 x 9.55 inches																												
118802566	The Sharper Your Knife, the Less You Cry: Love, Laughter, and Tears at the World's Most Famous Cooking School		Flinn, Kathleen											Hardcover	304 p.; 9.31 inches	1.1 pounds	9.3125 inches	1.125 inches	6.3125 inches	9.3125 x 6.3125 x 1.125 inches																												
118802700	Hostile Waters		Huchthausen, Peter A.											Hardcover	336 p.; 9.58 inches	1.35 pounds	9.58 inches	1.16 inches	6.4 inches	9.58 x 6.4 x 1.16 inches																												
118802784	Anno Dracula		Newman, Kim											Paperback	560 p.; 5.22 inches	1.09 pounds	5.22 inches	7.99 inches	1.45 inches	5.22 x 1.45 x 7.99 inches																												
118802804	The detective		Thorp, Roderick											Paper Book	598 p.; 22 cm		22 cm			22 cm																												
118802874	War		Junger, Sebastian											Paper Book	304 p.; 6.5 inches	1.11 pounds	6.5 inches	9.25 inches	1.13 inches	6.5 x 1.13 x 9.25  inches																												
118803186	Kitchen Confidential: Adventures in the Culinary Underbelly		Bourdain, Anthony											Paperback	312 p.; 8 inches	0.79 pounds	8 inches	0.8125 inches	5.25 inches	8 x 5.25 x 0.8125 inches																												
118804164	Sherlock Holmes of Baker Street, the life of the world's first consulting detective		Baring-Gould, William Stuart											Paper Book	336 p.; 8.5 inches		8.5 inches	1.125 inches	5.8125 inches	8.5 x 5.8125 x 1.125 inches																												
118804222	L.A. Confidential		Ellroy, James											Paperback	496 p.; 8 inches	0.94 pounds	8 inches	1.3125 inches	5.25 inches	8 x 5.25 x 1.3125 inches																												
118804265	The Talented Mr. Ripley		Highsmith, Patricia											Paperback	304 p.; 8.06 inches	0.6 pounds	8.0625 inches	0.6875 inches	5.25 inches	8.0625 x 5.25 x 0.6875 inches																												
