Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
116965705	The Perfect Kill: 21 Laws for Assassins		Baer, Robert B.											Hardcover	352 p.; 6.38 inches	1.17 pounds	6.38 inches	9.25 inches	1.13 inches	6.38 x 1.13 x 9.25 inches																												
116965887	Breakfast on Mars and 37 Other Delectable Essays		Stern, Rebecca											Hardcover	224 p.; 6.05 inches	1 pound	6.05 inches	8.48 inches	0.97 inches	6.05 x 0.97 x 8.48 inches																												
116965897	Make: Volume 44: Fun With Drones!		Babler, Jason											Paperback	116 p.; 5.91 inches	0.64 pounds	5.91 inches	9.84 inches	0.59 inches	5.91 x 0.59 x 9.84 inches																												
116988665	Towards Zero		Christie, Agatha											Paperback	256 p.; 5.31 inches	0.44 pounds	5.31 inches	8 inches	0.58 inches	5.31 x 0.58 x 8 inches																												
117123642	Beds: Outstanding Projects from One of America's Best Craftsmen (Step-By-Step Furniture)		Miller, Jeff											Paperback	192 p.; 9.06 inches	1.49 pounds	9.06 inches	10.88 inches	0.41 inches	9.06 x 0.41 x 10.88 inches																												
117124420	All My Friends Are Going to be Strangers		McMurtry, Larry											Paperback	6.9 inches	0.55 pounds	6.9 inches	0.8 inches	4.1 inches	6.9 x 4.1 x 0.8 inches																												
117124441	Fine Woodworking Tables and Chairs		Woodworking, Editors of Fine											Paperback	176 p.; 8.75 x 0.5 inches	1.25 pounds	0.5 inches	11 inches	8.75 inches	0.5 x 8.75 x 11 inches																												
117124747	King of the Comics: A Pearls Before Swine Collection		Pastis, Stephan											Paperback	128 p.; 8.5 inches		8.5 inches	9 inches	0.4 inches	8.5 x 0.4 x 9 inches																												
117158440	The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II		Kiernan, Denise											Paperback	416 p.; 6 inches	1.04 pounds	6 inches	9 inches	1.2 inches	6 x 1.2 x 9 inches																												
117348668	Theodore Rex		Morris, Edmund											Hardcover	784 p.; 9.56 inches	2.68 pounds	9.5625 inches	1.9375 inches	6.75 inches	9.5625 x 6.75 x 1.9375 inches																												
117519375	The World Beyond Your Head: On Becoming an Individual in an Age of Distraction		Crawford, Matthew B.											Hardcover	320 p.	1 pound	15 cm	10 cm	3 cm																													
117604113	Penny Arcade Volume 9: Passion's Howl		Holkins, Jerry											Paperback	112 p.; 9 inches	0.74 pounds	9 inches	0.375 inches	7 inches	9 x 7 x 0.375 inches																												
117692540	Dirty White Boys		Hunter, Stephen											Paperback	496 p.; 4.17 inches	0.53 pounds	4.17 inches	6.86 inches	1.12 inches	4.17 x 1.12 x 6.86 inches																												
117692591	The Complete Calvin and Hobbes		Watterson, Bill											Hardcover	1440 p.; 11.3 inches	22.5 pounds	11.3 inches	12.5 inches	5.3 inches	11.3 x 5.3 x 12.5 inches																												
117795358	The Moral Arc: How Science and Reason Lead Humanity toward Truth, Justice, and Freedom		Shermer, Michael											Hardcover	560 p.; 9.56 inches	1 pound	9.5625 inches	1.75 inches	6.625 inches	9.5625 x 6.625 x 1.75 inches																												
117798492	The One That Got Away: My SAS Mission Behind Iraqi Lines (Memories of War)		Ryan, Chris											Paperback	260 p.; 7.75 inches	0.46 pounds	7.75 inches	0.6875 inches	5.0625 inches	7.75 x 5.0625 x 0.6875 inches																												
117839949	Down to a Sunless Sea: A Tiller Galloway Thriller		Poyer, David											Hardcover	306 p.; 9.56 inches	3 pounds	9.5625 inches	1.125 inches	6.5 inches	9.5625 x 6.5 x 1.125 inches																												
117839952	Reefer Madness: Sex, Drugs, and Cheap Labor in the American Black Market		Schlosser, Eric											Hardcover	320 p.; 6 inches	1.33 pounds	6 inches	9 inches	0.81 inches	6 x 0.81 x 9 inches																												
117839955	In Praise of Slowness: How A Worldwide Movement Is Challenging the Cult of Speed		Honore, Carl											Hardcover	320 p.; 8.56 inches	0.99 pounds	8.5625 inches	1 inch	5.8125 inches	8.5625 x 5.8125 x 1 inches																												
117839958	Touching the Void		Simpson, Joe											Hardcover	174 p.; 9.4 inches	0.9 pounds	9.4 inches	0.8 inches	6.3 inches	9.4 x 6.3 x 0.8 inches																												
117853733	A Princess of Mars (John Carter of Mars)		Burroughs, Edgar Rice											Paperback	216 p.; 8.26 inches	0.62 pounds	8.26 inches	0.64 inches	5.55 inches	8.26 x 5.55 x 0.64 inches																												
117917506	Exploring Calvin and Hobbes: An Exhibition Catalogue		Watterson, Bill											Paperback	160 p.; 11 inches		11 inches	8.5 inches	0.6 inches	11 x 0.6 x 8.5 inches																												
117917531	Joint Book: The Complete Guide to Wood Joinery		Noll, Terrie											Paper Book	192 p.; 6.5 x 1 inches	1.05 pounds	1 inch	8 inches	6.5 inches	1 x 6.5 x 8 inches																												
118107674	Den of Thieves		Stewart, James B.											Hardcover	492 p.; 6.14 inches	1.77 pounds	6.14 inches	9.21 inches	1.5 inches	6.14 x 1.5 x 9.21 inches																												
118130526	Tales of Student Life		Hesse, Hermann											Hardcover	233 p.; 8.3 inches	0.9 pounds	8.3 inches	1 inch	5.5 inches	8.3 x 5.5 x 1 inches																												
118159338	Predator One: A Joe Ledger Novel		Maberry, Jonathan											Paperback	8.25 inches		8.25 inches	1.25 inches	5.5 inches	8.25 x 5.5 x 1.25 inches																												
118159353	The Battle of the Tanks: Kursk, 1943		Clark, Lloyd											Paperback	496 p.; 6 inches	1.45 pounds	6 inches	9 inches	1.25 inches	6 x 1.25 x 9 inches																												
118185555	Man's Search for Meaning		Frankl, Dr. Viktor E.											Paperback	6.9 inches	0.3 pounds	6.9 inches	0.6 inches	4.1 inches	6.9 x 4.1 x 0.6 inches																												
118185567	How to Plan & Build Bookcases, Cabinets & Shelves		Books, Ortho											Paperback	96 p.; 8.25 inches	0.7 pounds	8.25 inches	10.88 inches	0.25 inches	8.25 x 0.25 x 10.88 inches																												
118234858	Kill Chain: The Rise of the High-Tech Assassins		Cockburn, Andrew											Hardcover	320 p.; 6.27 inches	1 pound	6.27 inches	9.55 inches	1.04 inches	6.27 x 1.04 x 9.55 inches																												
118242251	Why We Lost: A General's Inside Account of the Iraq and Afghanistan Wars		Bolger, Daniel											Hardcover	544 p.; 9.25 inches	1 pound	9.25 inches	1.75 inches	6.4375 inches	9.25 x 6.4375 x 1.75 inches																												
118312409	Gray Work: Confessions of an American Paramilitary Spy		Smith, Jamie											Hardcover	400 p.; 9.31 inches		9.3125 inches	1.375 inches	6.375 inches	9.3125 x 6.375 x 1.375 inches																												
118650563	Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future		Vance, Ashlee											Hardcover	9.31 inches		9.3125 inches	1.4375 inches	6.4375 inches	9.3125 x 6.4375 x 1.4375 inches																												
118654918	The Perfect Nazi: Uncovering My Grandfather's Secret Past		Davidson, Martin											Hardcover	384 p.; 6.4 inches	1.35 pounds	6.4 inches	9.27 inches	1.3 inches	6.4 x 1.3 x 9.27 inches																												
118656194	Make: Volume 45: Robot Workshop (Make : Technology on Your Time)		Babler, Jason											Paperback																																		
118802342	The Land That Time Forgot		Burroughs, Edgar Rice											Paperback	464 p.; 8 inches	0.55 pounds	8 inches	0.6875 inches	5.1875 inches	8 x 5.1875 x 0.6875 inches																												
118802566	The Sharper Your Knife, the Less You Cry: Love, Laughter, and Tears at the World's Most Famous Cooking School		Flinn, Kathleen											Hardcover	304 p.; 9.31 inches	1.1 pounds	9.3125 inches	1.125 inches	6.3125 inches	9.3125 x 6.3125 x 1.125 inches																												
118802671	A Cook's Tour: In Search of the Perfect Meal		Bourdain, Anthony											Hardcover	288 p.; 9.56 inches	1.3 pounds	9.5625 inches	1.1875 inches	6.5625 inches	9.5625 x 6.5625 x 1.1875 inches																												
118802700	Hostile Waters		Huchthausen, Peter A.											Hardcover	336 p.; 9.58 inches	1.35 pounds	9.58 inches	1.16 inches	6.4 inches	9.58 x 6.4 x 1.16 inches																												
118802784	Anno Dracula		Newman, Kim											Paperback	560 p.; 5.22 inches	1.09 pounds	5.22 inches	7.99 inches	1.45 inches	5.22 x 1.45 x 7.99 inches																												
118802804	The detective		Thorp, Roderick											Paper Book	598 p.; 22 cm		22 cm			22 cm																												
118802833	SEAL Team Six : memoirs of an elite Navy seal sniper		Wasdin, Howard E.											Paper Book	9.5 inches		9.5 inches	1.25 inches	6.4375 inches	9.5 x 6.4375 x 1.25 inches																												
118802874	War		Junger, Sebastian											Paper Book	304 p.; 6.5 inches	1.11 pounds	6.5 inches	9.25 inches	1.13 inches	6.5 x 1.13 x 9.25  inches																												
118803186	Kitchen Confidential: Adventures in the Culinary Underbelly		Bourdain, Anthony											Paperback	312 p.; 8 inches	0.79 pounds	8 inches	0.8125 inches	5.25 inches	8 x 5.25 x 0.8125 inches																												
118804164	Sherlock Holmes of Baker Street, the life of the world's first consulting detective		Baring-Gould, William Stuart											Paper Book	336 p.; 8.5 inches		8.5 inches	1.125 inches	5.8125 inches	8.5 x 5.8125 x 1.125 inches																												
118804222	L.A. Confidential		Ellroy, James											Paperback	496 p.; 8 inches	0.94 pounds	8 inches	1.3125 inches	5.25 inches	8 x 5.25 x 1.3125 inches																												
118804265	The Talented Mr. Ripley		Highsmith, Patricia											Paperback	304 p.; 8.06 inches	0.6 pounds	8.0625 inches	0.6875 inches	5.25 inches	8.0625 x 5.25 x 0.6875 inches																												
118804303	Something from the Nightside (Nightside, Book 1)		Green, Simon R.											Paperback	240 p.; 4.2 inches	1.18 pounds	4.2 inches	6.8 inches	0.8 inches	4.2 x 0.8 x 6.8 inches																												
